OBJECTID,Id,St_label,Labelside,Address,Numberreal,Occupantre,Dm,DetailCat,StreetName,Angle,Direction
3869,126161,Lexington Avenue,L,2022 LEXINGTON AVENUE,2022,Vacant,6/8/2015,Vacant,E 123rd St,-66.75501615,S
3870,126162,Lexington Avenue,L,2026 LEXINGTON AVENUE,2026,China King,6/8/2015,Restaurant,Lexington Ave,36.13537661,W
3871,126163,Lexington Avenue,L,2026 LEXINGTON AVENUE,2026,Express Grill Deli,6/8/2015,Convenience Store,Lexington Ave,36.13537661,W
3872,126164,Lexington Avenue,L,136 EAST 124 STREET,2032,Levels Barbershop,6/8/2015,Salon/Spa,Lexington Ave,36.13537661,W
3873,126165,Lexington Avenue,L,136 EAST 124 STREET,2032,Olive Deli,6/8/2015,Convenience Store,Lexington Ave,36.13537661,W
3874,126166,Lexington Avenue,L,132 EAST 125 STREET,2068,East Harlem Dental (2nd Floor),6/8/2015,Medical,Lexington Ave,36.32682596,W
3875,126167,Lexington Avenue,L,132 EAST 125 STREET,2058,Max Wireless,6/8/2015,Electronics,Lexington Ave,36.32682596,W
3876,126168,Lexington Avenue,L,132 EAST 125 STREET,2058B,Lexington Optical Express,6/8/2015,Optical,Lexington Ave,36.32682596,W
3877,126169,Lexington Avenue,L,2054 LEXINGTON AVENUE,2056,Lx Deli,6/8/2015,Convenience Store,Lexington Ave,36.32682596,W
3878,126170,Lexington Avenue,L,2050 LEXINGTON AVENUE,2056,Lexington Avenue Pharmacy,6/8/2015,Pharmacy,Lexington Ave,36.32682596,W
3879,126171,Lexington Avenue,L,2050 LEXINGTON AVENUE,2054,Vacant,6/8/2015,Vacant,Lexington Ave,36.32682596,W
3880,126172,Lexington Avenue,L,2050 LEXINGTON AVENUE,2050,99?ó Rush,6/8/2015,Dollar Store,E 124th St,-67.21759427,S
3881,126173,116th Street,R,503 EAST 116 STREET,501,Liberty Income Tax,6/10/2015,Misc Service,E 116th St,-67.543061,N
3882,126174,116th Street,R,517 EAST 116 STREET,505,Vacant Corner,6/10/2015,Vacant,,33.69006753,E
3883,126175,Pleasant Avenue,R,302 PLEASANT AVENUE,302,East River Wine & Spirits,6/10/2015,Misc Service,Pleasant Ave,37.2781742,E
3884,126176,116th Street,R,455 EAST 116 STREET,455,Vacant,6/10/2015,Vacant,E 116th St,-67.22678438,N
3885,126177,116th Street,R,451 EAST 116 STREET,451A,Vacant,6/10/2015,Vacant,E 116th St,-67.22678438,N
3886,126178,116th Street,R,451 EAST 116 STREET,451B,Vacant,6/10/2015,Vacant,E 116th St,-67.22678438,N
3887,126179,116th Street,R,409 EAST 116 STREET,409,Bellas Beauty Scents,6/10/2015,Cosmetics: Cosmetic Stores,E 116th St,-67.22678438,N
3888,126180,116th Street,L,408 EAST 116 STREET,408,Vacant Lot,6/10/2015,Vacant,E 116th St,-67.22678438,S
3889,126181,116th Street,L,414 EAST 116 STREET,414,Barone Plumbing,6/10/2015,Other,E 116th St,-67.22678438,S
3890,126182,116th Street,L,424 EAST 116 STREET,426,Vacant,6/10/2015,Vacant,E 116th St,-67.22678438,S
3891,126183,116th Street,L,432 EAST 116 STREET,432,Braces & Smiles,6/10/2015,Medical,E 116th St,-67.22678438,S
3892,126184,116th Street,L,438 EAST 116 STREET,440,School,6/10/2015,Education,E 116th St,-67.22678438,S
3893,126185,116th Street,L,438 EAST 116 STREET,448,Residential,6/10/2015,Residential,E 116th St,-67.22678438,S
3894,126186,116th Street,L,438 EAST 116 STREET,438,Our Lady of Mount Carmel,6/10/2015,Landmark,E 116th St,-67.22678438,S
3895,126187,116th Street,R,355 EAST 116 STREET,355,Harley's Smokehouse,6/10/2015,Misc Service,E 116th St,-67.1231282,N
3896,126188,116th Street,R,353 EAST 116 STREET,335,George H. Weldon Funeral Home,6/10/2015,Other,E 116th St,-67.1231282,N
3897,126189,116th Street,R,327 EAST 116 STREET,307,Garcia Kung Fu Institute,6/10/2015,Education,E 116th St,-67.1231282,N
3898,126190,116th Street,R,325 EAST 116 STREET,307,Corsi,6/10/2015,Other,E 116th St,-67.1231282,N
3899,126191,116th Street,R,323 EAST 116 STREET,305,House Mary of Nazareth,6/10/2015,Other,E 116th St,-67.1231282,N
3900,126192,116th Street,R,321 EAST 116 STREET,303,Vacant,6/10/2015,Vacant,E 116th St,-67.1231282,N
3901,126193,116th Street,R,319 EAST 116 STREET,301,Guerrerense Barber Shop,6/10/2015,Salon/Spa,E 116th St,-67.1231282,N
3902,126194,116th Street,L,356 EAST 116 STREET,360,Good Taste 360 Chinese,6/10/2015,Restaurant,E 116th St,-67.1231282,S
3903,126195,116th Street,L,354 EAST 116 STREET,356,Ideal Pet Warehouse Ltd.,6/10/2015,Pet Supplies/Services,E 116th St,-67.1231282,S
3904,126196,116th Street,L,352 EAST 116 STREET,354,Eastside Medical Center,6/10/2015,Medical,E 116th St,-67.1231282,S
3905,126197,116th Street,L,350 EAST 116 STREET,352,La Casa Saluda,6/10/2015,Entertainment,E 116th St,-67.1231282,S
3906,126198,116th Street,L,342 EAST 116 STREET,338,Claudio's Barbershop,6/10/2015,Salon/Spa,E 116th St,-67.1231282,S
3907,126199,116th Street,L,338 EAST 116 STREET,332,Somniac Art Gallery,6/10/2015,Gallery,E 116th St,-67.1231282,S
3908,126200,116th Street,L,336 EAST 116 STREET,326,Flora Vista,6/10/2015,Other,E 116th St,-67.1231282,S
3909,126201,116th Street,L,326 EAST 116 STREET,324,Marone's Brick Oven Bread,6/10/2015,Quick Service Restaurant,E 116th St,-67.1231282,S
3910,126202,116th Street,L,326 EAST 116 STREET,322,24/7 Athletic Apparel,6/10/2015,Sporting Goods,E 116th St,-67.1231282,S
3911,126203,116th Street,L,324 EAST 116 STREET,308,El Barrio Juice Bar Deli Corp,6/10/2015,Convenience Store,E 116th St,-67.1231282,S
3912,126204,116th Street,L,318 EAST 116 STREET,304,Eagle Plumbing Supply,6/10/2015,Misc Service,E 116th St,-67.1231282,S
3913,126205,116th Street,L,233 EAST 116 STREET,233,First Sharon Baptist Church,6/10/2015,Landmark,E 116th St,-67.01785231,S
3914,126206,116th Street,R,209 EAST 116 STREET,207-205,Vacant Lot,6/10/2015,Vacant,E 116th St,-67.01785231,N
3915,126207,116th Street,L,2121 3 AVENUE,200,Easy Pass Smoke Shop,6/10/2015,Misc Service,E 116th St,-67.01785231,S
3916,126208,116th Street,L,204 EAST 116 STREET,206,SMA Garden Hardware,6/10/2015,Home Improvement,E 116th St,-67.01785231,S
3917,119657,Ludlow Street,R,36 LUDLOW STREET,38,Jing Jang Food Product,10/10/2012,Restaurant,Ludlow St,27.33666485,E
3918,119658,Ludlow Street,R,36 LUDLOW STREET,36,Vacant,10/10/2012,Vacant,Ludlow St,27.33666485,E
3919,119659,Ludlow Street,R,61 HESTER STREET,34,The Sweet Life,7/23/2007,Candy/Gifts/Cards,Ludlow St,27.33666485,E
3920,119660,Ludlow Street,L,56 HESTER STREET,31,Stanley's Pharmacy,5/10/2013,Pharmacy,Hester St,-72.95096902,S
3921,119661,Ludlow Street,L,56 HESTER STREET,29B,Office,7/23/2007,Other,Ludlow St,26.97284343,W
3922,119662,Ludlow Street,L,23 LUDLOW STREET,23-27,Fuji Catering,7/23/2007,Other,Ludlow St,26.97284343,W
3923,119663,Ludlow Street,L,21 LUDLOW STREET,19-21,Vacant (Available),5/25/2010,Vacant,Ludlow St,26.97284343,W
3924,119664,Ludlow Street,L,17 LUDLOW STREET,15-17,Chinese,7/23/2007,Restaurant,Ludlow St,26.97284343,W
3925,119665,Ludlow Street,L,13 LUDLOW STREET,13-Jul,Storage,7/23/2007,Other,Ludlow St,26.97284343,W
3926,119666,Ludlow Street,L,7 LUDLOW STREET,5,Boe Fook Funeral Services,10/10/2012,Misc Service,Ludlow St,26.97284343,W
3927,119667,Ludlow Street,L,39 CANAL STREET,3,Tung Goon Association,10/10/2012,Other,Ludlow St,26.97284343,W
3928,119668,Ludlow Street,R,48 HESTER STREET,30,Kwok Wan Laundromat,10/10/2012,Misc Service,Hester St,-73.49563862,N
3929,119669,Ludlow Street,R,48 HESTER STREET,28,Residential,7/23/2007,Residential,Ludlow St,26.97284343,E
3930,119670,Ludlow Street,R,26 LUDLOW STREET,26,Ludlow Plumbing Suppy Inc,10/10/2012,Other,Ludlow St,26.97284343,E
3931,119671,Ludlow Street,,24 LUDLOW STREET,24,Delete,9/12/2013,,Ludlow St,26.97284343,
3932,119672,Ludlow Street,R,22 LUDLOW STREET,22,United Buddhist Association,5/25/2010,Other,Ludlow St,26.97284343,E
3933,119673,Ludlow Street,R,8 LUDLOW STREET,20-Aug,Storage Building,7/23/2007,Misc Service,Ludlow St,26.97284343,E
3934,119674,Ludlow Street,R,37 CANAL STREET,6,Vacant,5/8/2017,Vacant,Ludlow St,26.97284343,E
3935,119675,Norfolk Street,l,126 STANTON STREET,163-168,PS 20,7/24/2007,Education,Norfolk St,27.1496817,
3936,119676,Norfolk Street,R,188 NORFOLK STREET,186-188,Residential,7/24/2007,Residential,Norfolk St,27.1496817,E
3937,119677,Norfolk Street,R,184 NORFOLK STREET,184,Residential,7/24/2007,Residential,Norfolk St,27.1496817,E
3938,119678,Norfolk Street,R,182 NORFOLK STREET,180-182,Residential,7/24/2007,Residential,Norfolk St,27.1496817,E
3939,119679,Norfolk Street,R,178 NORFOLK STREET,178,Vacant,3/27/2014,Vacant,Norfolk St,27.1496817,E
3940,119680,Norfolk Street,R,172 NORFOLK STREET,649,Reinstein Ross Goldsmiths,3/17/2015,Accessories,Norfolk St,27.1496817,E
3941,119681,Norfolk Street,R,168 NORFOLK STREET,168,Residential,7/23/2007,Residential,Norfolk St,27.1496817,E
3942,119682,Norfolk Street,R,166 NORFOLK STREET,166,Residential,7/23/2007,Residential,Norfolk St,27.1496817,E
3943,119683,Norfolk Street,,NORFOLK STREET,159,Delete,9/12/2013,,Norfolk St,26.9588304,
3944,119684,Norfolk Street,L,155 NORFOLK STREET,153-155,Residential,7/24/2007,Residential,Norfolk St,26.9588304,W
3945,119685,Norfolk Street,L,149 NORFOLK STREET,149-151,Residential,7/24/2007,Residential,Norfolk St,26.9588304,W
3946,119686,Norfolk Street,L,143 NORFOLK STREET,143,Residential,6/2/2010,Residential,Norfolk St,26.9588304,W
3947,119687,Norfolk Street,L,141 NORFOLK STREET,141,Residential,7/24/2007,Residential,Norfolk St,26.9588304,W
3948,119688,Norfolk Street,L,139 NORFOLK STREET,139,Gallery Artshop,5/27/2010,Gallery,Norfolk St,26.9588304,W
3949,119689,Norfolk Street,L,137 NORFOLK STREET,137,Residential,7/24/2007,Residential,Norfolk St,26.9588304,W
3950,119690,Norfolk Street,L,135 NORFOLK STREET,135,Residential,7/24/2007,Residential,Norfolk St,26.9588304,W
3951,119691,Norfolk Street,L,133 NORFOLK STREET,131,Market,1/30/2008,Grocery,Norfolk St,26.9588304,W
3952,119692,Norfolk Street,R,121 SUFFOLK STREET,0,Lower East Side Prepratory School,7/24/2007,Education,Norfolk St,26.9588304,E
3953,119693,Norfolk Street,R,131 RIVINGTON STREET,122-129,Leased,8/17/2012,Other,Norfolk St,27.1304517,E
3954,119694,Norfolk Street,R,114 NORFOLK STREET,112-120,Office Building,7/24/2007,Other,Norfolk St,27.1304517,E
3955,119695,Norfolk Street,R,108 NORFOLK STREET,108-110,Residential,7/24/2007,Residential,Norfolk St,27.1304517,E
3956,119696,Norfolk Street,R,106 NORFOLK STREET,106,Vacant,6/2/2010,Vacant,Norfolk St,27.1304517,E
3957,119697,Norfolk Street,R,102 NORFOLK STREET,102,Saro,3/27/2014,Restaurant,Norfolk St,27.1304517,E
3958,119698,Norfolk Street,R,100 NORFOLK STREET,100,Blue Presentation Center,7/24/2007,Residential,Norfolk St,27.1304517,E
3959,119699,Norfolk Street,R,134 DELANCEY STREET,132,Robin Solid Gold and Cash,3/27/2014,Accessories,Norfolk St,27.1304517,E
3960,119700,Norfolk Street,L,129 RIVINGTON STREET,123,Maryam Nassir Zadeh,5/27/2010,Fashion:Luxury,Norfolk St,27.1304517,W
3961,119701,Norfolk Street,L,121 NORFOLK STREET,121,Residential,7/24/2007,Residential,Norfolk St,27.1304517,W
3962,119702,Norfolk Street,L,115 NORFOLK STREET,119,Residential,7/24/2007,Residential,Norfolk St,27.1304517,W
3963,119703,Norfolk Street,L,115 NORFOLK STREET,117,Construction,5/27/2010,Under Construction,Norfolk St,27.1304517,W
3964,119704,Norfolk Street,L,115 NORFOLK STREET,115,Construction,5/27/2010,Under Construction,Norfolk St,27.1304517,W
3965,119705,Norfolk Street,L,113 NORFOLK STREET,113,Residential,7/24/2007,Residential,Norfolk St,27.1304517,W
3966,119706,Norfolk Street,L,103 NORFOLK STREET,103-109,Residential,7/24/2007,Residential,Norfolk St,27.1304517,W
3967,119707,Norfolk Street,L,111 NORFOLK STREET,111,Community Technology Center,5/27/2010,Other,Norfolk St,27.1304517,W
3968,119708,Suffolk Street,L,155 SUFFOLK STREET,155,PandaPanther,3/19/2014,Other,Suffolk St,27.53607311,W
3969,119709,Suffolk Street,L,157 SUFFOLK STREET,157-159,Residential,7/24/2007,Residential,Suffolk St,27.53607311,W
3970,119710,Suffolk Street,L,161 SUFFOLK STREET,161-163,Storage,7/24/2007,Other,Suffolk St,27.53607311,W
3971,119711,Suffolk Street,L,167 SUFFOLK STREET,165-167,Residential,7/24/2007,Residential,Suffolk St,27.53607311,W
3972,119712,Suffolk Street,L,169 SUFFOLK STREET,168,Residential,7/24/2007,Residential,Suffolk St,27.53607311,W
3973,119713,Suffolk Street,L,171 SUFFOLK STREET,171-173,Lot,7/24/2007,Other,Suffolk St,27.53607311,W
3974,119714,Suffolk Street,L,265 EAST HOUSTON STREET,179,Construction,6/2/2010,Under Construction,Suffolk St,27.53607311,W
3975,119715,Suffolk Street,R,178 SUFFOLK STREET,178,Residential,,Residential,Suffolk St,27.53607311,E
3976,119716,Amsterdam Avenue,L,205 WEST 76 STREET,340,The Amsterdam Inn,7/25/2007,Hotel,W 76th St,-67.31347333,S
3977,119717,Amsterdam Avenue,L,600 AMSTERDAM AVENUE,608,New Image Beauty Salon,9/3/2015,Salon/Spa,Amsterdam Ave,35.97238705,W
3978,119718,Spring Street,L,399 WEST BROADWAY,160,Jeremy Argyle (Available),2/28/2017,Available,Spring St,-64.59228189,S
3979,119719,Tenth Avenue,L,511 WEST 55 STREET,845,John Jay College,4/6/2016,Education,10th Ave,36.86989764,W
3980,119720,Tenth Avenue,L,505 WEST 37 STREET,505,Clyde Frazier's Wine & Dine,5/1/2017,Restaurant_1,10th Ave,35.09581678,W
3981,119721,Tenth Avenue,R,453 WEST 37 STREET,0,Duane Reade,4/21/2010,Convenience Store,10th Ave,35.09581678,E
3982,119722,Eighth Avenue,R,302 WEST 12 STREET,302,Chase,8/15/2007,Bank,W 12th St,-89.40934279,N
3983,119723,Eighth Avenue,R,302 WEST 12 STREET,302,Jackson Square Drugs,8/15/2007,Landmark,8th Ave,47.92497795,E
3984,119724,Eighth Avenue,R,302 WEST 12 STREET,302,Mail Boxes Etc,8/15/2007,Other,8th Ave,47.92497795,E
3985,119725,Grand Street,R,38 GRAND STREET,38,Residential,7/23/2007,Residential,Grand St,-64.47030201,N
3986,119726,Amsterdam Avenue,R,473 AMSTERDAM AVENUE,473,Jooneechees,3/14/2016,Home Furnishings,Amsterdam Ave,35.7066914,E
3987,119727,Amsterdam Avenue,L,482 AMSTERDAM AVENUE,482,Rita Berger House,12/10/2014,Misc Service,Amsterdam Ave,36.13537661,W
3988,119728,Prince Street,R,203 PRINCE STREET,203,Residential,10/10/2007,Residential,Prince St,-63.43494882,N
3989,119729,Prince Street,R,34 MAC DOUGAL STREET,205,Residential,10/10/2007,Residential,Prince St,-63.43494882,N
3990,119730,Prince Street,R,195 PRINCE STREET,195,Residential,10/10/2007,Residential,Prince St,-63.43494882,N
3991,119731,Prince Street,R,183 PRINCE STREET,181,Sean,7/22/2015,Fashion:Upscale,Prince St,-63.74134044,N
3992,119732,Prince Street,R,171 PRINCE STREET,177,Residential,10/10/2007,Residential,Prince St,-63.74134044,N
3993,119733,Prince Street,R,177 PRINCE STREET,179,Vacant,6/21/2016,Vacant,Prince St,-63.74134044,N
3994,119734,Prince Street,,137 PRINCE STREET,141,delete,1/16/2015,,Prince St,-63.43494882,
3995,119735,Prince Street,,122 GREENE STREET,106,Delete,2/1/2016,,Prince St,-63.43494882,
3996,119736,Prince Street,,114 GREENE STREET,102,Delete,4/9/2008,,Prince St,-63.43494882,
3997,119737,Prince Street,,96 PRINCE STREET,100,delete,1/16/2015,,Prince St,-63.43494882,
3998,119738,Prince Street,,93 PRINCE STREET,99,Delete,9/4/2012,,Prince St,-63.43494882,
3999,119739,Prince Street,,11 PRINCE STREET,11,Delete,6/19/2012,,Prince St,-66.57130719,
4000,119740,Avenue C,R,214 AVENUE C,0,Power Plant,7/31/2007,Other,Avenue C,35.3802722,E
4001,119741,Avenue C,L,169 AVENUE C,169,Lower East Side Car Service,8/1/2007,Misc Service,Avenue C,37.47617956,W
4002,119742,Avenue C,,156 AVENUE C,156,Delete,11/17/2008,,Avenue C,36.55247275,
4003,119743,Avenue C,,154 AVENUE C,154,Delete,11/17/2008,,Avenue C,36.55247275,
4004,119744,Avenue C,R,152 AVENUE C,152,9th Street Community Garden Park,11/17/2008,Landmark,Avenue C,36.55247275,E
4005,119745,Avenue C,,AVENUE C,150,Delete,11/17/2008,,Avenue C,36.55247275,
4006,119746,Avenue C,,AVENUE C,148,Delete,11/17/2008,,Avenue C,36.55247275,
4007,119747,Avenue C,,AVENUE C,146,Delete,11/17/2008,,Avenue C,36.55247275,
4008,119748,Avenue C,R,106 AVENUE C,116,Kafaha,11/5/2008,Restaurant,Avenue C,36.41637852,E
4009,119749,Avenue C,R,702 EAST 5 STREET,68,5C Vegan Caf??,11/5/2008,Caf??,E 5th St,-67.20940916,N
4010,119750,Avenue C,R,64 AVENUE C,66,5th Street Deli Grocery,6/25/2014,Convenience Store,Avenue C,35.34010692,E
4011,119751,Avenue C,R,270 EAST 3 STREET,32,Vacant,6/25/2014,Vacant,Avenue C,36.59108827,E
4012,119752,Avenue C,R,270 EAST 3 STREET,28,Vacant,6/25/2014,Vacant,Avenue C,36.59108827,E
4013,119753,Bond Street,L,31 BOND STREET,31,Residential,8/25/2016,Residential,Bond St,-64.09986032,S
4014,119754,Maiden Lane,L,51 NASSAU STREET,20,Bullpen Bar & Grille,7/9/2014,Restaurant,Liberty Pl,46.60600299,W
4015,119755,Nassau Street,R,,140,Coiffeur,5/17/2010,Salon/Spa,Nassau St,58.15094868,E
4016,119756,Nassau Street,R,90 NASSAU STREET,88,Nassan Electronics,3/14/2013,Electronics,Nassau St,44.58179006,E
4017,119757,Nassau Street,,79 NASSAU STREET,75,Delete,6/28/2013,,Nassau St,44.58179006,
4018,119758,Lexington Avenue,R,665 LEXINGTON AVENUE,667,KC Signature Jewlery,12/1/2008,Accessories,Lexington Ave,35.97238705,E
4019,119759,Madison Avenue,,1015 MADISON AVENUE,1015,Delete,7/14/2015,,Madison Ave,36.32682595,
4020,119760,Madison Avenue,R,1089 MADISON AVENUE,1091,Ovando (Coming Soon),5/10/2017,Other,Madison Ave,35.7066914,E
4021,119761,Third Avenue,L,1852 3 AVENUE,1862,East Side Gourmet Deli Market,6/8/2015,Convenience Store,3rd Ave,35.90972308,W
4022,119762,34th Street,R,455 WEST 34 STREET,455,West Lake Dry Cleaner,10/2/2007,Misc Service,W 34th St,-67.27026792,N
4023,119763,34th Street,R,455 WEST 34 STREET,455,Subway,4/19/2010,Quick Service Restaurant,,47.29061004,E
4024,119764,34th Street,L,460 WEST 34 STREET,460,La-Bella Stella Pizza,4/19/2010,Quick Service Restaurant,W 34th St,-67.27026792,S
4025,119765,34th Street,L,460 WEST 34 STREET,460,34th Street Winery,10/2/2007,Bar,W 34th St,-67.27026792,S
4026,119766,34th Street,L,448 WEST 34 STREET,0,Empty Lot,10/2/2007,Vacant,,24.97391091,W
4027,119767,34th Street,R,WEST 34 STREET,0,Empty Lot,10/2/2007,Vacant,,34.9920202,E
4028,119768,34th Street,R,433 WEST 34 STREET,433,Food Fair Deli & Pizza,10/2/2007,Convenience Store,Lincoln Tunnel Expy,48.20521593,E
4029,119769,34th Street,R,433 WEST 34 STREET,433,Shutters Bar & Caf?¿,10/2/2007,Restaurant,W 34th St,-67.456939,N
4030,119770,34th Street,L,446 WEST 34 STREET,446,The Church in NYC,10/2/2007,Landmark,Lincoln Tunnel Expy,27.52522574,W
4031,119771,34th Street,L,440 WEST 34 STREET,440,Residential,10/2/2007,Residential,W 34th St,-67.456939,S
4032,119772,34th Street,L,430 WEST 34 STREET,430,Residential,10/2/2007,Residential,W 34th St,-67.28558765,S
4033,119773,34th Street,R,413 WEST 34 STREET,419,The Welster Apartments,10/2/2007,Residential,W 34th St,-67.28558765,N
4034,119774,34th Street,L,,424,St. Paul's Center,10/2/2007,Landmark,W 34th St,-67.28558765,S
4035,119775,34th Street,L,,424,St. Michael's Church,10/2/2007,Landmark,W 34th St,-67.28558765,S
4036,119776,34th Street,R,433 9 AVENUE,0,Parking,10/2/2007,Parking,W 34th St,-67.28558765,N
4037,119777,34th Street,L,,408,Residential,10/2/2007,Residential,W 34th St,-67.28558765,S
4038,119778,34th Street,R,433 9 AVENUE,0,GHI,10/2/2007,Misc Service,W 34th St,-67.28558765,N
4039,119779,34th Street,L,,0,Skylight Diner,10/2/2007,Restaurant,W 34th St,-67.28558765,S
4040,119780,34th Street,L,,0,Ameritel T-Mobile,10/2/2007,Electronics,W 34th St,-67.28558765,S
4041,119781,34th Street,L,330 WEST 34 STREET,360,Residential,10/2/2007,Residential,W 34th St,-66.97450799,S
4042,119782,34th Street,R,243 WEST 34 STREET,243,7-Eleven,9/5/2012,Convenience Store,W 34th St,-66.86053824,N
4043,119783,34th Street,L,222 EAST 34 STREET,222,CVS/pharmacy,2/2/2010,Pharmacy,E 34th St,-67.32442697,S
4044,119784,Broadway,L,195 BROADWAY,195,Nobu (Coming Soon),7/9/2015,Restaurant_1,Fulton St,-64.98310652,S
4045,119785,42nd Street,,214 EAST 42 STREET,210,Delete,6/6/2008,,E 42nd St,-64.75947073,
4046,119786,23rd Street,R,527 WEST 23 STREET,555,The Tate NYC,7/22/2016,Residential,W 23rd St,-66.88233568,N
4047,119787,23rd Street,R,465 WEST 23 STREET,463,Chelsea Barbers,10/2/2007,Salon/Spa,W 23rd St,-66.85029666,N
4048,119788,23rd Street,R,465 WEST 23 STREET,405,Pantry Gourmet Caf??,2/15/2010,Caf??,W 23rd St,-66.85029666,N
4049,119789,23rd Street,R,,315,Duane Reade,9/12/2012,Convenience Store,W 23rd St,-67.86450812,N
4050,119790,Bleeker Street,R,309 BLEECKER STREET,305,Suprema,1/11/2016,Restaurant,Bleecker St,-29.35775354,N
4051,119791,Bleeker Street,R,203 BLEECKER STREET,203,Native Leather,9/27/2007,Accessories,Bleecker St,-58.86102756,N
4052,119792,Bleeker Street,R,201 BLEECKER STREET,201,Porto Rico Importing Co.,5/23/2013,Caf??,Bleecker St,-58.86102756,N
4053,119793,Bleeker Street,R,199 BLEECKER STREET,199,Greenwich Village Funeral,9/27/2007,Other,Bleecker St,-58.86102756,N
4054,119794,Bleeker Street,R,197 BLEECKER STREET,197,Village Music World Home,9/27/2007,Entertainment,Bleecker St,-58.86102756,N
4055,119795,Bleeker Street,R,189 BLEECKER STREET,197,Tibet Arts & Crafts,9/27/2007,Arts & Crafts,Bleecker St,-58.86102756,N
4056,119796,Bleeker Street,R,189 BLEECKER STREET,195,Rice Cream Shoppe,8/22/2016,Restaurant,Bleecker St,-58.86102756,N
4057,119797,Bleeker Street,R,189 BLEECKER STREET,193,Manousheh,8/22/2016,Caf??,Bleecker St,-58.86102756,N
4058,119798,Mac Dougal Street,L,189 BLEECKER STREET,189-191,The Coffee Bean & Tea Leaf,5/14/2013,Caf??,MacDougal St,39.7376046,W
4059,119799,Bleeker Street,,196 BLEECKER STREET,196-98,Delete,10/25/2010,,Bleecker St,-58.86102756,
4060,119800,Bleeker Street,L,194 BLEECKER STREET,194,Artful Posters,9/27/2007,Other,Bleecker St,-58.86102756,S
4061,119801,Bleeker Street,L,194 BLEECKER STREET,194,Masala Times,5/27/2010,Restaurant,Bleecker St,-58.86102756,S
4062,119802,Bleeker Street,,192 BLEECKER STREET,192,delete,7/21/2016,,Bleecker St,-58.86102756,
4063,119803,Bleeker Street,L,192 BLEECKER STREET,192,Dessert Kitchen,7/21/2016,Restaurant,Bleecker St,-58.86102756,S
4064,119804,Bleeker Street,L,190 BLEECKER STREET,190,Leased,8/22/2016,Other,Bleecker St,-58.86102756,S
4065,119805,Mac Dougal Street,L,188 BLEECKER STREET,89,J.G. Melon,8/24/2015,Restaurant,MacDougal St,40.30508572,W
4066,119806,Bleeker Street,L,156 BLEECKER STREET,162,Falucka Restaurant,2/15/2012,Restaurant,Bleecker St,-64.02560604,S
4067,119807,Bleeker Street,,1 WASHINGTON SQ VLLGE,,Delete,12/17/2013,,Bleecker St,-63.43494883,
4068,119808,Second Avenue,L,1393 2 AVENUE,1397,Little Vincent's Pizza,,Restaurant,E 73rd St,-66.83358005,S
4069,119809,Second Avenue,,1355 2 AVENUE,1351,Delete,8/24/2015,,2nd Ave,35.86982352,
4070,119810,Second Avenue,,1349 2 AVENUE,,Delete,4/3/2008,,E 71st St,-67.88233367,
4071,119811,Second Avenue,R,301 EAST 69 STREET,1318B,Vacant (Not Available),8/3/2015,Vacant,2nd Ave,35.36246189,E
4072,119812,Second Avenue,L,1225 2 AVENUE,1233,Vacant,5/18/2017,Vacant,2nd Ave,35.97238705,W
4073,119813,Second Avenue,L,1169 2 AVENUE,1167,Accupuncture (2nd Floor),9/27/2007,Salon/Spa,2nd Ave,36.13537661,W
4074,119814,Second Avenue,L,1143 2 AVENUE,1145,City Wine,9/27/2007,Other,E 60th St,-66.94869908,S
4075,119815,Second Avenue,,231 EAST 56 STREET,0,The High School Of Art And Design (Below Grade),6/20/2011,Education,2nd Ave,36.59108827,
4076,119816,Second Avenue,L,231 EAST 56 STREET,0,New Residential Deveolpment,5/9/2014,Residential,2nd Ave,36.59108827,W
4077,119817,Hudson Street,,139 CHAMBERS STREET,1,Delete,10/18/2010,,Hudson St,5.290081204,
4078,119818,Franklin Street,L,181 FRANKLIN STREET,177,Shinola Detroit,7/16/2013,Accessories,Franklin St,-84.77180812,S
4079,119819,Hudson Street,L,,135,Residential,7/31/2007,Residential,Beach St,-84.9993554,S
4080,119820,Hudson Street,L,153 HUDSON STREET,153,Residential,7/31/2007,Residential,Hudson St,11.14288986,W
4081,119821,Hudson Street,R,HUDSON STREET,150,Hudson Development,7/31/2007,Under Construction,Holland Tunnel,20.69545073,E
4082,119822,Hudson Street,L,,181 - 185,Residential,7/31/2007,Residential,Hudson St,9.904183214,W
4083,119823,Hudson Street,L,,195,"Luke LiCalzi, P.E., P.C.",8/8/2012,Misc Service,Hudson St,9.904183214,W
4084,119824,Hudson Street,,CANAL STREET,,Delete,10/18/2010,,Holland Tunnel,58.24051991,
4085,119825,Hudson Street,L,229 HUDSON STREET,229,New Development (Available),2/12/2016,Under Construction,Hudson St,8.880659149,W
4086,119826,Hudson Street,L,,239,Arlo Hotel,12/15/2016,Hotel,Hudson St,8.880659149,W
4087,119827,Hudson Street,,255 HUDSON STREET,255,Delete,10/18/2010,,Hudson St,8.880659153,
4088,119828,Hudson Street,,250 HUDSON STREET,250,Delete,10/18/2010,,Hudson St,8.880659153,
4089,119829,Hudson Street,R,292 HUDSON STREET,0,Parking Lot,6/17/2015,Parking,Holland Tunnel,-67.02484594,N
4090,119830,Hudson Street,L,333 HUDSON STREET,333,Residential,7/31/2007,Residential,Charlton St,-84.66784112,S
